#chr	pos	coverage
H1N1_HA	1	1
H1N1_HA	2	1
H1N1_HA	3	1
H1N1_HA	4	1
H1N1_HA	5	1
H1N1_HA	6	11
H1N1_HA	7	17
H1N1_HA	8	17
H1N1_HA	9	18
H1N1_HA	10	19
H1N1_HA	11	20
H1N1_HA	12	20
H1N1_HA	13	20
H1N1_HA	14	21
H1N1_HA	15	21
H1N1_HA	16	21
H1N1_HA	17	21
H1N1_HA	18	22
H1N1_HA	19	23
H1N1_HA	20	23
H1N1_HA	21	23
H1N1_HA	22	27
H1N1_HA	23	27
H1N1_HA	24	27
H1N1_HA	25	27
H1N1_HA	26	27
H1N1_HA	27	27
H1N1_HA	28	27
H1N1_HA	29	27
H1N1_HA	30	27
H1N1_HA	31	27
H1N1_HA	32	37
H1N1_HA	33	37
H1N1_HA	34	39
H1N1_HA	35	40
H1N1_HA	36	40
H1N1_HA	37	41
H1N1_HA	38	41
H1N1_HA	39	41
H1N1_HA	40	41
H1N1_HA	41	41
H1N1_HA	42	41
H1N1_HA	43	42
H1N1_HA	44	43
H1N1_HA	45	43
H1N1_HA	46	46
H1N1_HA	47	46
H1N1_HA	48	48
H1N1_HA	49	48
H1N1_HA	50	48
H1N1_HA	51	48
H1N1_HA	52	49
H1N1_HA	53	49
H1N1_HA	54	49
H1N1_HA	55	49
H1N1_HA	56	49
H1N1_HA	57	49
H1N1_HA	58	51
H1N1_HA	59	52
H1N1_HA	60	52
H1N1_HA	61	53
H1N1_HA	62	53
H1N1_HA	63	53
H1N1_HA	64	53
H1N1_HA	65	53
H1N1_HA	66	53
H1N1_HA	67	53
H1N1_HA	68	53
H1N1_HA	69	53
H1N1_HA	70	55
H1N1_HA	71	55
H1N1_HA	72	55
H1N1_HA	73	55
H1N1_HA	74	55
H1N1_HA	75	55
H1N1_HA	76	55
H1N1_HA	77	55
H1N1_HA	78	56
H1N1_HA	79	56
H1N1_HA	80	56
H1N1_HA	81	56
H1N1_HA	82	56
H1N1_HA	83	57
H1N1_HA	84	57
H1N1_HA	85	57
H1N1_HA	86	57
H1N1_HA	87	56
H1N1_HA	88	57
H1N1_HA	89	57
H1N1_HA	90	57
H1N1_HA	91	59
H1N1_HA	92	59
H1N1_HA	93	63
H1N1_HA	94	63
H1N1_HA	95	63
H1N1_HA	96	65
H1N1_HA	97	65
H1N1_HA	98	65
H1N1_HA	99	66
H1N1_HA	100	66
H1N1_HA	101	66
H1N1_HA	102	69
H1N1_HA	103	69
H1N1_HA	104	77
H1N1_HA	105	77
H1N1_HA	106	77
H1N1_HA	107	76
H1N1_HA	108	77
H1N1_HA	109	77
H1N1_HA	110	77
H1N1_HA	111	78
H1N1_HA	112	78
H1N1_HA	113	81
H1N1_HA	114	86
H1N1_HA	115	87
H1N1_HA	116	87
H1N1_HA	117	89
H1N1_HA	118	89
H1N1_HA	119	89
H1N1_HA	120	89
H1N1_HA	121	89
H1N1_HA	122	89
H1N1_HA	123	89
H1N1_HA	124	89
H1N1_HA	125	89
H1N1_HA	126	89
H1N1_HA	127	89
H1N1_HA	128	89
H1N1_HA	129	89
H1N1_HA	130	89
H1N1_HA	131	93
H1N1_HA	132	91
H1N1_HA	133	89
H1N1_HA	134	89
H1N1_HA	135	89
H1N1_HA	136	87
H1N1_HA	137	87
H1N1_HA	138	87
H1N1_HA	139	88
H1N1_HA	140	88
H1N1_HA	141	88
H1N1_HA	142	88
H1N1_HA	143	87
H1N1_HA	144	87
H1N1_HA	145	87
H1N1_HA	146	87
H1N1_HA	147	88
H1N1_HA	148	88
H1N1_HA	149	88
H1N1_HA	150	88
H1N1_HA	151	88
H1N1_HA	152	88
H1N1_HA	153	89
H1N1_HA	154	88
H1N1_HA	155	89
H1N1_HA	156	89
H1N1_HA	157	83
H1N1_HA	158	79
H1N1_HA	159	80
H1N1_HA	160	79
H1N1_HA	161	80
H1N1_HA	162	79
H1N1_HA	163	79
H1N1_HA	164	79
H1N1_HA	165	78
H1N1_HA	166	78
H1N1_HA	167	78
H1N1_HA	168	80
H1N1_HA	169	79
H1N1_HA	170	78
H1N1_HA	171	78
H1N1_HA	172	78
H1N1_HA	173	76
H1N1_HA	174	76
H1N1_HA	175	76
H1N1_HA	176	76
H1N1_HA	177	76
H1N1_HA	178	74
H1N1_HA	179	74
H1N1_HA	180	74
H1N1_HA	181	74
H1N1_HA	182	74
H1N1_HA	183	66
H1N1_HA	184	66
H1N1_HA	185	66
H1N1_HA	186	65
H1N1_HA	187	65
H1N1_HA	188	64
H1N1_HA	189	64
H1N1_HA	190	65
H1N1_HA	191	65
H1N1_HA	192	65
H1N1_HA	193	67
H1N1_HA	194	66
H1N1_HA	195	65
H1N1_HA	196	65
H1N1_HA	197	64
H1N1_HA	198	64
H1N1_HA	199	62
H1N1_HA	200	62
H1N1_HA	201	62
H1N1_HA	202	62
H1N1_HA	203	62
H1N1_HA	204	63
H1N1_HA	205	63
H1N1_HA	206	63
H1N1_HA	207	64
H1N1_HA	208	64
H1N1_HA	209	62
H1N1_HA	210	61
H1N1_HA	211	61
H1N1_HA	212	61
H1N1_HA	213	62
H1N1_HA	214	60
H1N1_HA	215	62
H1N1_HA	216	63
H1N1_HA	217	61
H1N1_HA	218	61
H1N1_HA	219	61
H1N1_HA	220	61
H1N1_HA	221	59
H1N1_HA	222	59
H1N1_HA	223	60
H1N1_HA	224	61
H1N1_HA	225	61
H1N1_HA	226	61
H1N1_HA	227	61
H1N1_HA	228	61
H1N1_HA	229	60
H1N1_HA	230	60
H1N1_HA	231	60
H1N1_HA	232	60
H1N1_HA	233	60
H1N1_HA	234	61
H1N1_HA	235	62
H1N1_HA	236	62
H1N1_HA	237	62
H1N1_HA	238	62
H1N1_HA	239	61
H1N1_HA	240	61
H1N1_HA	241	62
H1N1_HA	242	60
H1N1_HA	243	60
H1N1_HA	244	58
H1N1_HA	245	58
H1N1_HA	246	58
H1N1_HA	247	58
H1N1_HA	248	58
H1N1_HA	249	60
H1N1_HA	250	59
H1N1_HA	251	59
H1N1_HA	252	57
H1N1_HA	253	55
H1N1_HA	254	56
H1N1_HA	255	52
H1N1_HA	256	53
H1N1_HA	257	53
H1N1_HA	258	53
H1N1_HA	259	52
H1N1_HA	260	52
H1N1_HA	261	52
H1N1_HA	262	51
H1N1_HA	263	53
H1N1_HA	264	48
H1N1_HA	265	41
H1N1_HA	266	40
H1N1_HA	267	40
H1N1_HA	268	41
H1N1_HA	269	42
H1N1_HA	270	42
H1N1_HA	271	42
H1N1_HA	272	42
H1N1_HA	273	42
H1N1_HA	274	42
H1N1_HA	275	42
H1N1_HA	276	42
H1N1_HA	277	42
H1N1_HA	278	43
H1N1_HA	279	44
H1N1_HA	280	44
H1N1_HA	281	46
H1N1_HA	282	42
H1N1_HA	283	40
H1N1_HA	284	40
H1N1_HA	285	40
H1N1_HA	286	41
H1N1_HA	287	41
H1N1_HA	288	41
H1N1_HA	289	41
H1N1_HA	290	40
H1N1_HA	291	40
H1N1_HA	292	40
H1N1_HA	293	40
H1N1_HA	294	40
H1N1_HA	295	42
H1N1_HA	296	42
H1N1_HA	297	43
H1N1_HA	298	42
H1N1_HA	299	42
H1N1_HA	300	42
H1N1_HA	301	42
H1N1_HA	302	42
H1N1_HA	303	42
H1N1_HA	304	41
H1N1_HA	305	40
H1N1_HA	306	39
H1N1_HA	307	40
H1N1_HA	308	40
H1N1_HA	309	40
H1N1_HA	310	39
H1N1_HA	311	40
H1N1_HA	312	40
H1N1_HA	313	40
H1N1_HA	314	42
H1N1_HA	315	47
H1N1_HA	316	50
H1N1_HA	317	54
H1N1_HA	318	54
H1N1_HA	319	50
H1N1_HA	320	50
H1N1_HA	321	50
H1N1_HA	322	50
H1N1_HA	323	50
H1N1_HA	324	51
H1N1_HA	325	51
H1N1_HA	326	51
H1N1_HA	327	51
H1N1_HA	328	51
H1N1_HA	329	51
H1N1_HA	330	52
H1N1_HA	331	52
